record_id,state,district,land_type,project_type,cadastral_area_sqm,survey_area_sqm,compensation_amount,displaced_families,notification_date,award_date,rr_disbursement_ratio,is_anomaly_injected,injected_anomaly_type
REC_100016,MP,District_18,Residential,Dam,15351.58,15556.57,40534479.65,1,2022-07-08,2024-02-16,0.97,0,None
REC_100017,Karnataka,District_8,Commercial,Dam,4137.11,4142.11,25611038.81,0,2020-04-03,2020-11-17,0.83,0,None
REC_100018,Maharashtra,District_5,Commercial,Dam,8041.34,8382.85,45881435.98,1,2021-09-02,2022-05-05,0.93,0,None
REC_100019,UP,District_13,Forest,Urban Development,11326.42,11779.95,2369912.34,1,2022-09-21,2023-03-31,0.87,0,None
REC_100020,Maharashtra,District_18,Residential,Urban Development,17993.65,17384.8,52046578.07,3,2020-04-24,2021-08-17,0.8,0,None
REC_100021,UP,District_6,Forest,Highway,13438.28,13642.49,2029356.23,3,2022-09-03,2023-11-26,0.85,0,None
REC_100022,MP,District_6,Agricultural,Urban Development,15056.58,14444.8,5251621.37,2,2022-05-11,2024-04-09,0.85,0,None
REC_100023,MP,District_7,Commercial,Urban Development,8165.41,8228.2,60124324.83,1,2022-02-19,2023-01-30,0.94,0,None
REC_100024,MP,District_17,Agricultural,Urban Development,974.16,1014.58,367424.63,0,2021-05-15,2021-11-30,0.99,0,None
REC_100025,Maharashtra,District_12,Residential,Railway,19349.77,20029.21,53932576.54,2,2020-02-29,2021-04-30,0.91,0,None
REC_100026,MP,District_3,Agricultural,Dam,14072.58,13566.09,4696978.8,3,2022-04-15,2022-12-21,0.95,0,None
REC_100027,MP,District_5,Commercial,Dam,14198.44,14719.63,121771834.69,2,2022-08-27,2023-08-11,0.9,0,None
REC_100028,Karnataka,District_17,Forest,Railway,13174.3,13010.39,1216061.52,2,2022-08-09,2023-08-29,0.81,0,None
REC_100029,Karnataka,District_13,Residential,Dam,11081.57,11439.06,25157296.66,1,2022-07-10,2024-06-18,0.9,0,None
REC_100030,UP,District_4,Commercial,Railway,4708.51,4727.64,16809938.2,1,2020-03-06,2021-08-14,1.0,0,None
REC_100031,Maharashtra,District_19,Commercial,Railway,6797.65,6475.0,39987131.96,1,2020-01-08,2020-09-16,0.94,0,None
REC_100032,Maharashtra,District_8,Agricultural,Highway,3879.24,3941.38,630504.7,1,2022-05-30,2023-10-30,0.95,0,None
REC_100033,Maharashtra,District_17,Commercial,Urban Development,12428.55,11825.02,52837960.3,1,2021-11-16,2023-09-24,0.81,0,None
REC_100034,Gujarat,District_18,Commercial,Dam,14221.33,13756.58,77348704.24,2,2020-09-05,2022-07-01,0.92,0,None
REC_100035,UP,District_7,Agricultural,Highway,1383.43,1405.38,333178.27,0,2021-11-05,2023-07-19,0.93,0,None
REC_100036,Karnataka,District_14,Forest,Dam,11922.62,11922.62,12704127.21,2,2022-06-03,2023-01-24,0.89,1,Compensation Outlier
REC_100037,Maharashtra,District_13,Residential,Highway,8029.0,7708.47,19618015.14,0,2020-09-11,2021-09-22,0.94,0,None
REC_100038,Gujarat,District_18,Forest,Railway,6720.02,6463.43,661457.75,1,2021-03-08,2022-03-10,0.98,0,None
REC_100039,Karnataka,District_15,Commercial,Highway,16167.88,16960.92,117262679.06,2,2021-03-29,2022-01-03,0.96,0,None
REC_100040,Maharashtra,District_18,Agricultural,Highway,18649.77,17909.6,9296458.18,3,2022-08-06,2023-10-02,0.97,0,None
REC_100041,Gujarat,District_14,Forest,Dam,17962.7,17638.14,1331280.89,5,2020-08-06,2022-03-19,0.91,0,None
REC_100042,Maharashtra,District_6,Forest,Highway,9244.69,9514.24,1761550.94,1,2021-02-03,2022-04-30,0.9,0,None
REC_100043,UP,District_10,Forest,Dam,11215.81,10815.4,824548.27,2,2020-06-07,2021-06-16,0.82,0,None
REC_100044,Karnataka,District_7,Agricultural,Highway,14168.9,13580.66,2096972.87,2,2022-02-04,2023-06-20,0.87,0,None
REC_100045,Maharashtra,District_2,Forest,Railway,18971.35,19497.13,1301372.8,3,2020-02-28,2022-01-28,0.98,0,None
REC_100046,Maharashtra,District_6,Agricultural,Highway,10106.19,9719.65,1112396.26,2,2021-11-22,2023-01-16,0.92,0,None
REC_100047,UP,District_4,Commercial,Highway,7809.98,7428.97,36434369.97,0,2021-09-26,2022-06-16,0.98,0,None
REC_100048,UP,District_19,Residential,Urban Development,19862.81,20119.84,47017407.16,3,2020-07-28,2021-12-11,0.93,0,None
REC_100049,Gujarat,District_9,Forest,Railway,18072.58,17992.44,3586456.24,2,2021-11-18,2023-03-20,0.84,0,None
REC_100050,UP,District_11,Agricultural,Highway,7390.37,7536.82,2666123.49,1,2021-04-14,2022-01-21,0.96,0,None
REC_100051,Maharashtra,District_18,Commercial,Urban Development,3671.03,3712.67,29502283.86,1,2020-05-15,2021-11-03,0.97,0,None
REC_100052,Maharashtra,District_8,Residential,Urban Development,1014.16,1014.16,2658211.05,0,2020-06-10,2020-07-04,0.92,1,Timeline Irregularity
REC_100053,MP,District_1,Residential,Highway,19413.33,18973.44,46565770.61,5,2022-08-19,2023-07-02,0.96,0,None
REC_100054,Karnataka,District_4,Agricultural,Railway,19934.42,19430.77,6480187.89,2,2020-10-05,2022-01-16,0.99,0,None
REC_100055,MP,District_7,Residential,Railway,4958.53,5043.61,11911459.51,1,2021-12-04,2023-02-27,0.9,0,None
REC_100056,MP,District_16,Residential,Highway,11262.18,10731.49,33286011.39,2,2020-04-04,2021-12-08,0.94,0,None
REC_100057,Karnataka,District_2,Agricultural,Urban Development,3159.24,3139.49,389105.08,0,2022-02-28,2023-01-07,0.9,0,None
REC_100058,Karnataka,District_6,Forest,Dam,8232.58,8583.78,648020.51,1,2021-07-28,2022-02-02,0.89,0,None
REC_100059,Maharashtra,District_3,Commercial,Highway,10106.05,9731.0,38359793.52,1,2022-05-04,2023-11-13,0.83,0,None
REC_100060,MP,District_18,Commercial,Dam,4046.66,3914.06,20128424.19,0,2020-05-10,2020-12-18,0.83,0,None
REC_100061,Karnataka,District_12,Agricultural,Urban Development,3951.7,3898.07,555061.31,0,2020-08-03,2021-10-12,0.81,0,None
REC_100062,Maharashtra,District_12,Forest,Railway,12744.06,12459.71,841708.11,3,2022-08-05,2023-10-01,0.84,0,None
REC_100063,Gujarat,District_6,Forest,Highway,7724.21,7915.36,860842.33,1,2020-07-02,2021-12-04,0.94,0,None
REC_100064,UP,District_8,Residential,Railway,10477.71,10207.88,12157539.97,1,2022-03-17,2023-01-01,0.8,0,None
REC_100065,UP,District_2,Forest,Railway,4623.24,4706.04,743801.87,0,2020-07-23,2022-05-05,0.82,0,None
REC_100066,Karnataka,District_10,Commercial,Railway,11943.4,11779.88,46872670.62,2,2020-01-25,2021-02-05,0.87,0,None
REC_100067,UP,District_11,Residential,Highway,12312.61,11894.82,13685847.25,1,2022-09-17,2023-12-26,0.83,0,None
REC_100068,Karnataka,District_17,Forest,Urban Development,2064.56,2043.47,162568.51,0,2022-08-19,2023-03-15,0.96,0,None
REC_100069,Maharashtra,District_9,Commercial,Urban Development,3832.31,3747.99,24514151.64,0,2020-02-09,2020-11-26,0.86,0,None
REC_100070,MP,District_14,Residential,Urban Development,10398.4,10482.88,12198410.63,2,2021-03-22,2023-02-23,0.91,0,None
REC_100071,Maharashtra,District_13,Commercial,Urban Development,7063.78,7282.67,56529001.96,1,2020-02-15,2021-11-02,0.95,0,None
REC_100072,Maharashtra,District_17,Commercial,Urban Development,9695.74,10146.61,72731488.42,2,2021-03-17,2021-11-23,0.99,0,None
REC_100073,Karnataka,District_20,Residential,Highway,1796.68,1849.73,3817906.32,0,2022-01-07,2023-05-09,0.83,0,None
REC_100074,MP,District_10,Forest,Urban Development,13471.35,13897.85,1561037.52,2,2021-02-16,2022-06-13,0.89,0,None
REC_100075,MP,District_5,Commercial,Dam,15078.38,15144.05,133071849.44,3,2021-11-11,2023-06-02,0.82,0,None
REC_100076,Gujarat,District_20,Residential,Dam,12740.31,12782.94,19092008.31,3,2021-07-15,2022-01-11,0.83,0,None
REC_100077,Karnataka,District_10,Commercial,Dam,5345.54,5546.94,32531694.65,1,2022-03-15,2023-08-06,0.82,0,None
REC_100078,UP,District_15,Forest,Railway,2986.03,3052.39,287467.18,0,2021-06-07,2023-04-02,0.94,0,None
REC_100079,Gujarat,District_3,Residential,Urban Development,5410.08,5356.44,7583741.68,1,2020-04-05,2021-05-30,0.83,0,None
REC_100080,Karnataka,District_8,Commercial,Railway,10364.83,10432.34,85158054.83,2,2020-01-26,2020-09-09,0.94,0,None
REC_100081,Gujarat,District_16,Agricultural,Dam,11737.62,12237.14,4341324.89,1,2021-02-28,2022-03-14,1.0,0,None
REC_100082,UP,District_16,Forest,Railway,2930.92,2901.32,368759.82,0,2020-05-31,2020-12-02,0.96,0,None
REC_100083,Maharashtra,District_14,Commercial,Railway,7003.23,18252.19,138703477.5,1,2022-04-03,2024-03-13,0.87,1,Spatial Discrepancy
REC_100084,Maharashtra,District_18,Commercial,Highway,4879.79,4840.23,22067355.79,0,2021-04-12,2022-02-22,0.92,0,None
REC_100085,UP,District_17,Residential,Dam,755.34,748.89,940000.76,0,2021-09-19,2023-08-16,0.9,0,None
REC_100086,UP,District_18,Forest,Railway,1807.99,1752.07,128916.28,0,2022-01-31,2023-11-28,0.91,0,None
REC_100087,UP,District_9,Commercial,Urban Development,15622.79,15715.96,77413452.75,2,2022-02-23,2024-02-06,0.97,0,None
REC_100088,UP,District_8,Residential,Dam,7779.53,7512.03,19160513.08,1,2020-03-20,2021-07-05,0.81,0,None
REC_100089,Gujarat,District_9,Residential,Urban Development,5005.96,4845.04,5518608.25,0,2022-07-03,2023-03-22,0.82,0,None
REC_100090,Gujarat,District_5,Commercial,Dam,14584.21,14153.95,69719645.73,3,2021-12-11,2022-11-12,0.8,0,None
REC_100091,Gujarat,District_3,Forest,Dam,4553.78,4732.6,613609.73,0,2020-12-04,2022-09-22,0.85,0,None
REC_100092,UP,District_2,Commercial,Dam,12010.75,11934.03,59529448.82,3,2021-02-02,2021-08-21,0.95,0,None
REC_100093,MP,District_13,Forest,Highway,17435.13,16602.54,1852429.25,3,2022-08-23,2024-02-14,0.93,0,None
REC_100094,Karnataka,District_13,Forest,Railway,3217.44,3144.18,215674.22,0,2021-05-14,2022-06-22,0.82,0,None
REC_100095,Karnataka,District_14,Forest,Highway,5844.08,5558.3,423496.14,1,2021-02-02,2022-07-11,0.97,0,None
REC_100096,UP,District_6,Forest,Railway,12210.08,12067.39,1437185.38,1,2021-09-29,2023-09-25,0.83,0,None
REC_100097,Maharashtra,District_13,Agricultural,Highway,2114.57,2084.05,793502.72,0,2021-10-20,2023-06-30,0.91,0,None
REC_100098,Gujarat,District_15,Commercial,Highway,13441.59,13122.03,57666889.37,1,2020-09-23,2022-04-14,0.9,0,None
REC_100099,Karnataka,District_7,Forest,Urban Development,7017.76,7014.59,1235896.91,1,2020-12-11,2022-07-02,0.85,0,None
REC_100100,Karnataka,District_14,Residential,Highway,16088.61,15431.52,28005755.34,1,2021-04-26,2021-11-11,0.99,0,None
REC_100101,MP,District_2,Residential,Railway,4110.09,4175.35,12699661.13,1,2021-10-27,2022-07-04,0.85,0,None
REC_100102,Maharashtra,District_1,Commercial,Railway,4813.58,5018.28,15308856.89,1,2022-05-09,2022-11-25,0.98,0,None
REC_100103,MP,District_5,Commercial,Railway,14099.7,14099.7,110757212.08,47,2021-04-29,2022-02-20,0.89,1,Demographic Spike
REC_100104,UP,District_9,Residential,Railway,6722.46,6467.39,6411821.77,1,2021-09-12,2022-07-06,0.87,0,None
REC_100105,Gujarat,District_10,Agricultural,Highway,1774.45,1796.79,473641.58,0,2022-08-09,2023-12-21,0.85,0,None
REC_100106,MP,District_13,Forest,Railway,17466.93,17466.93,33296083.06,3,2020-03-18,2021-05-20,0.96,1,Compensation Outlier
REC_100107,Karnataka,District_20,Agricultural,Highway,15460.17,16208.57,4778262.54,2,2020-12-21,2022-12-16,0.88,0,None
REC_100108,UP,District_12,Agricultural,Urban Development,5156.15,5018.8,660431.21,0,2020-01-13,2021-09-14,1.0,0,None
REC_100109,UP,District_4,Forest,Urban Development,7994.37,7666.13,1320081.48,2,2021-10-12,2023-07-24,0.99,0,None
REC_100110,Gujarat,District_14,Commercial,Urban Development,12461.52,12648.0,56924607.36,2,2021-09-22,2023-07-29,0.85,0,None
REC_100111,UP,District_14,Residential,Urban Development,4799.48,5024.63,14982325.64,1,2022-05-22,2023-07-27,1.0,0,None
REC_100112,Maharashtra,District_9,Forest,Railway,8226.72,8000.02,1333697.17,1,2022-02-07,2023-11-24,0.92,0,None
REC_100113,MP,District_20,Forest,Urban Development,2283.99,2388.06,507206.96,0,2020-01-30,2021-12-16,0.93,0,None
REC_100114,Karnataka,District_6,Forest,Railway,2196.24,2195.34,321651.37,0,2020-12-29,2022-03-18,0.94,0,None
REC_100115,Karnataka,District_9,Residential,Highway,17098.53,16838.31,36437565.26,3,2021-06-13,2022-06-23,0.85,0,None
REC_100116,Maharashtra,District_8,Forest,Dam,16049.81,16590.71,2875566.21,3,2021-07-22,2022-09-21,0.92,0,None
REC_100117,UP,District_16,Forest,Highway,3592.8,3459.46,601827.19,0,2020-04-05,2021-07-30,0.83,0,None
REC_100118,Gujarat,District_13,Commercial,Urban Development,16726.62,17531.48,84717986.55,2,2021-11-10,2023-05-21,0.93,0,None
REC_100119,UP,District_18,Residential,Dam,15706.99,15458.61,42488039.98,4,2022-02-02,2023-07-05,0.82,0,None
REC_100120,Karnataka,District_15,Residential,Urban Development,13913.77,14028.1,22556601.93,3,2020-09-14,2021-11-04,0.81,0,None
REC_100121,Maharashtra,District_7,Residential,Highway,19483.03,18556.79,42048959.49,3,2022-01-30,2024-01-28,0.9,0,None
REC_100122,Gujarat,District_7,Commercial,Dam,13824.26,13757.06,104265438.29,3,2020-10-10,2022-09-27,0.94,0,None
REC_100123,MP,District_10,Agricultural,Railway,2106.43,2032.93,779128.29,0,2020-10-30,2021-12-16,0.88,0,None
REC_100124,Karnataka,District_6,Residential,Highway,8253.09,8030.22,22973698.81,0,2021-12-26,2023-12-22,0.93,0,None
REC_100125,Gujarat,District_9,Agricultural,Highway,17354.99,17835.02,5836691.35,4,2021-07-20,2022-11-11,0.95,0,None
REC_100126,Gujarat,District_16,Agricultural,Highway,3059.28,3053.62,322726.78,0,2021-08-10,2022-11-24,0.94,0,None
REC_100127,UP,District_16,Forest,Urban Development,4410.23,4541.46,407489.0,0,2020-07-07,2021-02-24,0.8,0,None
REC_100128,Karnataka,District_16,Agricultural,Highway,8153.62,8447.25,2796777.91,0,2021-02-14,2022-12-29,0.9,0,None
REC_100129,Maharashtra,District_19,Agricultural,Railway,5219.88,5325.56,2813228.82,0,2020-06-01,2021-10-05,0.87,0,None
REC_100130,Maharashtra,District_8,Agricultural,Dam,2213.4,2132.1,548230.27,0,2021-09-12,2022-10-28,0.96,0,None
REC_100131,MP,District_13,Forest,Dam,3765.91,3930.18,196971.27,0,2020-10-31,2022-07-12,0.94,0,None
REC_100132,Karnataka,District_19,Agricultural,Highway,14424.7,14994.21,6713390.47,3,2022-08-28,2023-09-24,0.89,0,None
REC_100133,Gujarat,District_9,Agricultural,Railway,10764.85,10398.36,4742277.31,1,2020-09-02,2021-08-25,1.0,0,None
REC_100134,MP,District_3,Commercial,Highway,4051.3,4140.1,22017956.85,1,2021-02-22,2022-11-25,0.99,0,None
REC_100135,MP,District_16,Residential,Highway,4391.08,4374.67,5809781.28,1,2020-08-25,2021-12-13,0.95,0,None
REC_100136,Karnataka,District_15,Agricultural,Railway,7245.73,7302.74,1871411.56,1,2022-08-04,2023-10-28,0.9,0,None
REC_100137,MP,District_7,Forest,Highway,18063.69,17541.04,3562413.92,3,2021-07-11,2022-08-25,0.95,0,None
REC_100138,Gujarat,District_9,Commercial,Highway,14458.59,13997.32,67779549.34,2,2020-03-02,2021-02-14,0.85,0,None
REC_100139,Karnataka,District_20,Residential,Dam,9183.45,9083.43,18588243.96,1,2020-05-07,2022-02-25,0.93,0,None
REC_100140,Karnataka,District_13,Residential,Dam,15582.73,14918.12,41701899.02,3,2021-03-24,2021-12-11,0.87,0,None
REC_100141,MP,District_2,Forest,Urban Development,8902.31,8606.41,588475.27,2,2021-09-10,2022-11-20,0.93,0,None
REC_100142,Maharashtra,District_3,Commercial,Highway,16961.32,16303.09,117403740.61,1,2022-02-22,2023-05-23,0.91,0,None
REC_100143,MP,District_2,Commercial,Dam,1267.2,1268.12,8874387.41,0,2021-06-15,2023-03-09,1.0,0,None
REC_100144,Karnataka,District_6,Forest,Dam,596.33,597.26,73896.54,0,2022-09-19,2023-06-19,0.83,0,None
REC_100145,UP,District_12,Forest,Urban Development,6504.63,6504.63,1271570.1,41,2020-11-24,2021-09-07,0.82,1,Demographic Spike
REC_100146,Karnataka,District_14,Forest,Urban Development,17428.77,17748.15,3569406.74,3,2021-11-09,2023-06-22,0.97,0,None
REC_100147,MP,District_2,Forest,Highway,1092.55,1109.91,93062.03,0,2020-11-18,2022-01-30,0.82,0,None
REC_100148,Karnataka,District_4,Forest,Highway,19988.57,20553.02,3972381.48,5,2021-11-04,2023-08-19,0.98,0,None
REC_100149,UP,District_2,Commercial,Urban Development,6877.15,6832.85,53306233.52,0,2021-09-29,2023-08-20,0.91,0,None
REC_100150,UP,District_2,Commercial,Urban Development,6829.42,6829.42,44236472.11,1,2021-07-16,2021-08-04,0.89,1,Timeline Irregularity
REC_100151,UP,District_4,Agricultural,Railway,7778.41,7871.35,1561381.24,1,2021-12-27,2022-12-04,0.97,0,None
REC_100152,Karnataka,District_18,Agricultural,Dam,9844.05,9922.97,1159807.9,2,2020-04-05,2021-05-20,0.95,0,None
REC_100153,Maharashtra,District_15,Agricultural,Railway,14503.4,14717.29,8299081.66,2,2021-05-25,2022-09-15,0.99,0,None
REC_100154,MP,District_9,Forest,Dam,18721.5,18318.75,1608842.68,4,2021-04-28,2022-07-01,0.91,0,None
REC_100155,UP,District_18,Commercial,Dam,12401.51,12006.09,67191945.94,1,2020-07-14,2022-06-14,0.91,0,None
REC_100156,Gujarat,District_3,Residential,Dam,2584.1,2663.17,4291918.15,0,2020-12-14,2022-11-13,0.93,0,None
REC_100157,Karnataka,District_1,Residential,Urban Development,12231.43,12367.18,35035475.24,3,2022-05-07,2024-03-18,0.98,0,None
REC_100158,Gujarat,District_15,Forest,Urban Development,5118.98,5204.74,548889.12,1,2020-12-06,2022-06-25,0.89,0,None
REC_100159,UP,District_11,Commercial,Railway,3776.28,3596.39,16046424.49,0,2021-08-08,2023-03-03,0.91,0,None
REC_100160,Gujarat,District_14,Agricultural,Urban Development,8122.67,8281.18,2856873.31,1,2022-02-01,2023-11-27,0.94,0,None
REC_100161,UP,District_13,Commercial,Dam,19829.49,19381.66,118563296.05,2,2022-09-14,2023-04-19,0.98,0,None
REC_100162,Gujarat,District_17,Residential,Highway,6805.75,6511.47,12694602.62,0,2022-06-14,2024-03-05,0.91,0,None
REC_100163,Maharashtra,District_17,Forest,Highway,13192.11,13843.98,2287683.51,2,2022-01-09,2022-12-02,0.95,0,None
REC_100164,UP,District_5,Agricultural,Dam,1672.78,1622.75,559291.64,0,2022-03-11,2023-06-05,0.89,0,None
REC_100165,Karnataka,District_20,Forest,Highway,7277.64,7204.37,580472.45,2,2022-05-22,2023-10-20,0.99,0,None
REC_100166,MP,District_13,Residential,Dam,16919.65,16289.75,42016957.78,4,2022-06-12,2023-01-14,0.94,0,None
REC_100167,MP,District_3,Commercial,Urban Development,6411.0,12554.58,43165330.38,1,2020-08-20,2021-05-19,0.91,1,Spatial Discrepancy
REC_100168,Maharashtra,District_4,Forest,Railway,9220.45,9674.24,1392144.27,1,2021-12-11,2023-04-11,0.99,0,None
REC_100169,Maharashtra,District_2,Residential,Highway,16440.27,16917.09,46221843.27,1,2020-10-27,2022-04-27,0.88,0,None
REC_100170,Karnataka,District_14,Commercial,Railway,14051.55,13535.19,97304161.28,3,2021-06-27,2023-02-18,0.9,0,None
REC_100171,MP,District_6,Commercial,Railway,15413.79,15209.61,69904976.86,1,2020-03-21,2021-10-13,0.83,0,None
REC_100172,MP,District_8,Forest,Railway,11215.83,11147.98,1307890.11,2,2020-08-25,2022-06-08,0.84,0,None
REC_100173,Karnataka,District_15,Residential,Highway,13178.92,12596.63,16948890.46,1,2022-07-09,2024-04-25,0.94,0,None
REC_100174,Karnataka,District_18,Commercial,Highway,5164.01,5263.24,21837927.86,1,2021-03-28,2022-09-12,1.0,0,None
REC_100175,MP,District_10,Forest,Urban Development,12496.78,12035.29,1598524.87,2,2021-04-12,2022-08-14,0.84,0,None
REC_100176,Gujarat,District_13,Forest,Highway,8575.53,8503.63,458756.48,0,2020-08-30,2022-03-23,0.85,0,None
REC_100177,MP,District_12,Residential,Urban Development,3173.64,3324.66,5423591.16,0,2020-01-23,2021-08-30,0.9,0,None
REC_100178,Karnataka,District_1,Agricultural,Dam,11185.21,10793.78,3033259.63,2,2022-05-02,2023-08-18,0.9,0,None
REC_100179,Gujarat,District_20,Residential,Railway,8192.29,8427.33,21542031.08,2,2021-10-13,2022-10-22,0.89,0,None
REC_100180,MP,District_9,Commercial,Highway,16897.0,17166.26,106462880.81,3,2022-07-14,2023-02-19,0.92,0,None
REC_100181,Karnataka,District_15,Agricultural,Urban Development,10608.96,10122.72,1499504.48,2,2022-01-19,2022-11-29,0.81,0,None
REC_100182,Maharashtra,District_10,Residential,Dam,736.12,725.05,2032101.78,0,2020-06-28,2021-07-18,0.84,0,None
REC_100183,Gujarat,District_18,Residential,Urban Development,2418.72,2317.65,6976399.9,0,2022-04-30,2023-04-13,0.95,0,None
REC_100184,Karnataka,District_16,Residential,Urban Development,7947.82,8062.2,10611534.95,0,2022-04-03,2023-01-25,0.99,0,None
REC_100185,UP,District_3,Commercial,Railway,6210.03,6403.64,41529234.54,0,2022-05-30,2024-01-06,0.87,0,None
REC_100186,MP,District_12,Agricultural,Dam,4880.0,5096.23,1233033.1,0,2020-01-15,2021-04-09,0.84,0,None
REC_100187,MP,District_4,Forest,Urban Development,13093.31,13641.82,2355557.07,3,2021-11-19,2023-02-10,0.89,0,None
REC_100188,MP,District_13,Residential,Highway,14705.57,15418.3,42112853.16,1,2021-11-22,2023-01-15,0.83,0,None
REC_100189,UP,District_1,Residential,Railway,14656.61,14997.82,22743527.16,3,2021-10-25,2022-06-26,0.9,0,None
REC_100190,UP,District_10,Forest,Highway,11517.93,11126.4,1896866.02,1,2020-05-23,2021-01-04,0.85,0,None
REC_100191,Maharashtra,District_10,Forest,Highway,19840.29,19949.58,1800881.89,4,2020-04-09,2021-06-03,0.84,0,None
REC_100192,MP,District_5,Forest,Dam,15783.94,16171.8,859143.05,4,2021-01-14,2022-09-15,0.87,0,None
REC_100193,MP,District_5,Forest,Highway,3403.32,3385.83,397903.82,0,2022-05-03,2024-03-14,0.92,0,None
REC_100194,MP,District_14,Residential,Highway,8546.13,8797.55,8215765.34,1,2021-12-07,2023-06-19,0.9,0,None
REC_100195,Gujarat,District_15,Forest,Railway,1764.65,1795.79,288056.03,0,2022-05-25,2023-11-27,0.97,0,None
REC_100196,Maharashtra,District_12,Residential,Highway,2002.64,2060.44,3627488.18,0,2021-02-11,2022-05-19,0.83,0,None
REC_100197,Gujarat,District_4,Forest,Highway,8963.38,9410.07,1780401.19,2,2021-11-09,2022-12-11,0.88,0,None
REC_100198,MP,District_1,Agricultural,Urban Development,15820.21,15933.91,2526809.58,2,2020-09-06,2021-07-11,0.87,0,None
REC_100199,MP,District_7,Agricultural,Railway,1010.84,990.49,128427.18,0,2021-08-23,2022-09-28,0.89,0,None
REC_100200,Gujarat,District_11,Commercial,Highway,16917.7,16297.64,79691828.93,4,2020-10-10,2021-09-03,0.9,0,None
REC_100201,Gujarat,District_18,Residential,Railway,14725.41,15095.57,21824550.59,4,2020-04-22,2020-11-14,0.81,0,None
REC_100202,Gujarat,District_1,Residential,Railway,6002.65,5865.76,9883299.59,1,2021-08-25,2023-01-18,0.96,0,None
REC_100203,Maharashtra,District_6,Residential,Highway,10007.64,10040.08,11561741.95,1,2020-05-09,2022-01-10,0.98,0,None
REC_100204,MP,District_4,Agricultural,Dam,13443.9,13443.9,36285738.23,2,2021-04-04,2022-10-06,0.88,1,Compensation Outlier
REC_100205,UP,District_17,Commercial,Highway,19635.29,19564.47,93030482.32,4,2022-01-14,2023-12-28,0.87,0,None
REC_100206,Karnataka,District_15,Agricultural,Highway,3449.31,3457.38,614239.37,0,2021-05-05,2022-12-17,0.94,0,None
REC_100207,UP,District_4,Forest,Dam,14302.78,13824.75,2007995.12,3,2020-03-16,2020-12-03,0.93,0,None
REC_100208,Karnataka,District_20,Commercial,Highway,8529.43,8790.77,30208983.63,0,2020-05-09,2021-08-13,0.96,0,None
REC_100209,MP,District_19,Residential,Dam,5543.11,5379.52,10391400.11,1,2021-09-03,2023-08-27,0.97,0,None
REC_100210,Karnataka,District_15,Forest,Highway,9299.17,9265.63,649601.6,1,2022-03-23,2023-01-14,0.9,0,None
REC_100211,MP,District_7,Forest,Dam,13307.21,12913.01,2657078.07,2,2022-06-28,2023-08-15,0.96,0,None
REC_100212,UP,District_11,Forest,Dam,12874.36,12434.0,1791607.37,3,2021-03-01,2021-12-03,0.86,0,None
REC_100213,Karnataka,District_14,Residential,Urban Development,18169.79,17596.04,60989453.44,4,2021-01-18,2021-12-20,0.83,0,None
REC_100214,UP,District_3,Agricultural,Highway,12498.31,13082.14,1789166.76,3,2020-04-05,2021-12-18,0.93,0,None
